cle,Respondent_ID,weight,A9_1_slice,A9_2_slice,A9_3_slice,A9_4_slice,A9_5_slice,A9_6_slice,A9_7_slice,A9_8_slice,A9_9_slice,A9_10_slice,A9_11_slice,A9_12_slice,A9_13_slice,A9_14_slice,A9_15_slice,A9_16_slice,A10_1_slice,A10_2_slice,A10_3_slice,A10_4_slice,A10_5_slice,A10_6_slice,A10_7_slice,A10_8_slice,A11_1_slice,A11_2_slice,A11_3_slice,A11_4_slice,A11_5_slice,A11_6_slice,A11_7_slice,A11_8_slice,A11_9_slice,A11_10_slice,A11_11_slice,A11_12_slice,A11_13_slice,cluster
37,MET20_7001659,0.9643085747,3,4,4,4,2,2,3,3,3,4,3,4,4,4,3,3,2,2,4,3,2,3,3,4,2,3,3,3,3,2,3,3,3,3,3,3,3,2
38,MET20_80000491,0.6947629021,2,3,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,3,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,0
39,MET20_1859994,0.4424340921,2,3,3,1,2,3,1,2,1,2,2,3,2,1,3,2,1,2,3,2,2,4,2,2,1,2,2,1,1,1,1,1,3,1,2,2,2,0
40,MET20_1172381,0.598301777,3,3,3,3,2,1,4,3,2,3,2,3,2,1,3,2,1,2,3,1,1,3,3,4,1,1,2,1,1,1,1,1,1,1,1,2,4,0
41,MET20_7019744,1.161725334,3,3,3,3,3,1,1,2,2,3,3,3,3,2,4,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,1
42,MET20_1707599,0.9617576466,3,2,2,3,3,2,3,1,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,4,2,1,1,1,2,2,2,2,3,2,2,2,3,0
43,MET20_1248504,1.0239963436,1,2,2,2,3,2,1,2,1,2,1,3,2,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3
44,MET20_7005235,0.62815034,2,3,4,3,4,2,4,2,3,3,3,4,4,3,2,4,2,2,2,3,2,1,3,2,1,2,2,2,2,1,2,2,2,3,2,3,2,1
45,MET20_1314511,0.9059973118,2,4,4,3,3,3,4,2,2,2,2,3,4,2,2,4,2,2,3,1,2,3,2,3,2,2,2,3,2,2,2,2,4,3,2,1,3,1
46,MET20_7001385,1.012416781,2,2,2,2,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
47,MET20_7005269,0.7470769429,1,3,2,3,4,3,1,2,2,2,2,2,2,2,2,3,1,1,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,0
48,MET20_1229388,1.012416781,1,2,2,2,4,1,1,2,1,2,1,2,2,1,1,1,1,1,3,2,1,4,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3
49,MET20_1152425,0.9770802775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
50,MET20_1203301,1.055956908,2,2,2,2,4,2,2,2,2,2,3,2,3,2,2,2,2,1,3,2,1,3,2,3,2,2,2,2,2,2,2,2,3,2,3,3,2,0
51,MET20_7017667,1.055956908,3,3,3,3,2,2,2,3,2,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,0
52,MET20_1255707,2.9605391895,3,4,3,1,3,4,2,2,3,4,1,4,4,1,2,4,2,2,2,2,2,3,4,1,2,2,2,2,2,1,2,2,3,2,4,4,2,1
53,MET20_1105100,0.9059973118,3,3,3,3,1,1,4,3,1,2,1,4,3,2,3,4,1,2,3,3,2,3,3,4,3,3,2,3,2,3,1,2,2,2,3,1,2,1
54,MET20_1169726,0.7058317983,4,4,4,3,3,3,1,2,1,4,2,3,4,2,4,1,2,2,3,2,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1
55,MET20_7009269,0.925195291,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,1,2,2,2,2,2,2,3,3,2,2,2,2,3,2,0
56,MET20_1608292,0.7397234366,2,3,2,2,4,3,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,1,3,2,2,2,1,2,2,3,2,2,3,2,2,0
57,MET20_7002520,0.8528399828,4,4,3,4,4,4,2,4,4,4,3,4,3,4,4,4,3,4,2,4,4,2,4,3,4,4,3,4,4,3,3,4,4,4,4,4,2,2
58,MET20_1547979,1.0396114026,2,3,2,3,3,2,2,2,3,3,2,3,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,3,3,2,3,2,2,1
59,MET20_1181663,1.3100912782,4,4,3,4,1,4,3,4,3,2,4,4,4,4,4,4,2,2,1,4,3,1,4,2,4,4,4,3,3,4,2,4,3,4,4,2,2,2
60,MET20_7015412,1.012416781,3,3,4,3,2,1,3,3,3,3,2,4,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,3,3,2,1
61,MET20_7002555,0.6722919535,2,2,3,3,2,3,1,2,1,1,1,2,2,1,2,2,1,1,4,1,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3
62,MET20_1215818,0.9306511977,1,3,1,1,1,3,2,2,1,1,1,3,1,1,1,4,1,1,3,2,1,3,2,3,1,1,1,1,2,1,3,3,2,2,2,1,2,3
63,MET20_7004076,0.7058317983,2,2,2,2,2,3,3,2,2,3,2,3,3,2,2,3,1,1,3,2,1,3,3,2,1,2,1,2,1,1,2,1,2,2,2,1,2,0
64,MET20_1029615,1.0396114026,3,3,3,3,3,2,4,3,3,4,2,3,3,3,3,3,2,2,2,2,1,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,1
65,MET20_1644156,0.9612750925,2,4,4,4,1,2,3,3,2,2,3,3,4,2,2,4,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1
66,MET20_1257000,1.3100912782,2,1,2,2,3,2,1,2,1,2,1,3,2,3,2,3,1,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
67,MET20_410960,0.7980860057,2,3,3,3,3,1,3,3,2,2,2,3,3,2,2,3,2,3,3,2,1,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
68,MET20_7011095,0.9965400009,1,1,2,2,3,2,3,2,1,2,2,2,3,2,1,2,1,1,3,2,1,3,2,3,1,1,1,1,1,1,1,1,2,1,2,2,2,3
69,MET20_1901333,1.0396114026,2,4,4,4,2,3,3,4,1,2,2,3,4,1,1,4,1,2,1,2,1,3,4,4,2,2,3,2,2,2,2,2,4,4,2,1,4,1
70,MET20_7004025,0.8247615439,2,3,3,3,3,2,1,3,2,2,2,3,3,2,2,2,1,2,2,3,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,1,0
71,MET20_1269898,0.9306511977,2,2,2,2,3,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,1,2,2,1,2,3,2,2,2,2,1,1,0
72,MET20_1215156,1.4391301159,1,2,3,3,2,2,1,2,1,1,1,2,3,1,3,1,1,2,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
73,MET20_80003546,1.3309635272,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
74,MET20_318123,0.9765900354,2,4,4,4,2,1,2,4,2,4,2,4,4,2,2,2,2,2,3,4,2,3,4,2,2,3,3,3,2,3,2,3,3,3,2,2,2,1
75,MET20_242133,0.7980860057,2,2,2,2,2,3,3,2,2,1,1,3,2,2,3,2,3,2,3,2,2,3,2,2,2,2,2,3,2,2,2,3,3,2,2,2,3,0
76,MET20_1184774,0.9612750925,2,2,2,2,3,3,2,2,2,2,1,2,3,2,1,1,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,0
77,MET20_18177,0.9612750925,2,2,3,2,3,2,2,3,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
78,MET20_7004537,0.961473076,1,2,2,2,4,2,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
79,MET20_661710,0.3922906934,2,4,4,4,2,3,4,3,2,2,2,3,4,3,3,4,2,2,4,3,2,2,3,2,2,2,3,3,2,2,2,3,2,3,2,2,2,1
80,MET20_7006859,1.3100912782,2,3,3,3,3,2,3,3,2,3,3,3,4,3,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
81,MET20_1300882,0.6182996491,2,2,2,2,3,2,1,2,2,2,1,2,4,1,2,2,1,1,3,1,1,4,1,1,2,2,2,1,2,1,1,2,2,2,2,1,2,3
82,MET20_1078488,0.464506602,4,3,3,3,3,2,4,3,3,4,3,4,4,2,2,4,2,2,2,4,2,3,3,4,2,2,2,2,2,3,2,3,3,4,4,2,4,1
83,MET20_7015418,1.1178917385,3,3,3,3,3,3,3,2,2,2,4,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,2
84,MET20_172314,0.8247615439,2,2,2,2,3,3,3,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,3,0
85,MET20_1228274,0.7980860057,2,4,4,4,3,1,4,4,3,3,4,4,4,2,3,4,2,2,3,2,2,2,3,4,2,2,2,2,3,2,3,3,4,4,4,4,4,2
86,MET20_1977911,1.3948718613,3,3,3,3,1,2,4,3,1,2,1,4,3,3,3,4,1,1,2,1,1,3,2,2,2,2,1,1,1,2,2,3,2,2,2,2,3,0
87,MET20_1194047,0.8422381464,2,2,2,2,2,3,1,2,3,2,2,3,2,1,3,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3
88,MET20_80001941,0.5612524165,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
89,MET20_503897,0.930184251,2,3,3,3,2,2,3,2,2,2,1,3,3,1,1,3,2,3,3,2,2,3,3,4,2,2,1,3,1,2,2,1,2,1,2,2,3,0
90,MET20_1599426,1.3840511984,2,3,3,3,3,3,4,4,2,3,2,3,3,2,2,3,3,2,2,3,2,1,2,2,2,2,2,2,2,2,3,2,3,2,3,3,3,1
91,MET20_480048,1.0239963436,3,2,3,1,2,2,1,2,1,2,1,3,2,1,3,2,2,1,3,1,2,2,2,1,2,1,2,1,2,2,3,3,3,2,2,2,2,0
92,MET20_2162,1.0946952712,3,3,3,3,3,2,3,3,3,2,3,3,4,3,3,3,2,2,2,3,2,1,2,2,3,3,3,3,3,3,3,3,2,2,3,2,2,1
93,MET20_7007853,0.9059973118,2,1,2,1,2,2,2,2,2,2,1,2,3,2,2,3,2,2,2,3,2,3,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,0
94,MET20_7003894,0.9965400009,1,2,3,3,3,2,3,3,2,1,2,3,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,3
95,MET20_1788805,0.4424340921,1,4,4,4,1,2,4,4,1,1,1,4,4,4,3,4,2,2,3,2,2,3,3,4,2,1,4,2,2,1,2,4,3,2,2,2,4,1
96,MET20_520967,1.012416781,2,2,2,2,2,2,3,3,2,2,2,3,2,1,2,3,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,3
97,MET20_1134639,1.0076397374,3,3,4,4,4,3,2,4,2,4,2,4,4,2,3,4,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,4,3,1
98,MET20_7008403,0.5345827213,2,3,3,3,2,1,2,3,2,3,2,3,3,2,3,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3
99,MET20_1549306,0.9463951981,2,2,3,3,2,3,1,1,2,3,1,3,1,1,1,2,3,2,1,1,1,2,2,1,1,3,1,2,2,2,3,2,3,1,2,2,4,0
100,MET20_617508,0.9157856221,3,3,4,3,2,2,2,3,3,3,3,3,4,2,3,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1
101,MET20_1548514,0.7980860057,3,3,3,3,3,3,3,3,2,2,1,3,4,3,2,4,2,2,3,1,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,1
102,MET20_7008253,0.4586650315,2,2,2,2,3,2,4,2,2,3,2,3,2,2,2,3,2,2,3,2,2,3,2,3,2,2,2,2,2,2,3,3,3,2,2,2,3,0
103,MET20_432759,1.0946952712,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,3,3,2,2,0
104,MET20_7010662,1.4606865097,2,2,3,3,4,2,4,3,4,4,3,4,3,3,2,4,2,1,3,1,2,2,2,4,2,2,3,3,3,2,3,3,3,3,4,3,3,1
105,MET20_238205,0.5524508228,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,3,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,3
106,MET20_7001219,1.0610295856,1,2,3,3,3,3,1,1,1,2,1,4,2,1,2,2,1,1,2,1,1,3,1,1,1,1,1,3,1,1,1,1,2,1,2,1,1,3
107,MET20_1675408,0.8422381464,4,1,1,1,4,4,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
108,MET20_1074743,1.0396114026,3,3,3,3,3,2,2,3,2,3,2,3,3,2,3,3,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,3,2,3,2,2,1
109,MET20_1870132,0.8247615439,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,1,2,3,2,1,3,2,2,2,2,3,3,3,2,2,3,3,2,2,1,1,0
110,MET20_1268337,0.9770802775,3,3,3,3,1,2,2,1,1,2,1,3,3,1,3,3,1,2,3,3,1,3,2,3,1,2,1,2,1,2,1,2,3,2,1,1,2,0
111,MET20_1975717,0.9463951981,1,1,1,1,3,3,1,1,1,1,1,2,1,1,1,1,1,1,2,3,1,4,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,3
112,MET20_1171292,1.4279661214,3,3,3,3,1,3,3,3,2,3,2,4,3,2,3,4,2,2,4,2,2,3,2,2,2,2,2,3,2,2,2,3,3,3,3,2,3,1
113,MET20_7009411,0.8556566041,2,2,2,2,3,1,2,2,2,2,2,3,4,2,2,4,2,2,2,2,2,3,3,2,2,3,2,3,2,3,2,3,3,2,3,2,2,0
114,MET20_7016997,0.9612750925,1,2,2,2,4,3,4,2,3,1,2,2,3,2,1,3,1,1,3,3,2,2,1,3,2,2,2,2,2,2,1,2,2,2,2,2,3,0
115,MET20_1547920,0.7397234366,2,2,3,3,2,2,3,2,3,3,1,2,3,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,3,2,1,1,2,0
116,MET20_1097745,0.9059973118,2,2,2,1,2,3,2,2,2,2,1,3,2,1,2,3,1,1,2,3,1,4,3,2,1,2,1,1,1,1,1,2,2,1,2,1,2,3
117,MET20_841033,0.837901566,3,3,4,3,2,2,4,3,1,3,4,3,4,2,3,4,2,2,2,3,1,1,4,4,1,2,2,2,2,2,2,2,3,4,4,3,3,1
118,MET20_253849,0.9059973118,3,4,4,4,3,3,3,4,3,3,4,4,4,3,3,4,2,2,2,4,2,2,2,4,2,4,3,2,4,3,4,3,4,4,3,2,4,2
119,MET20_410813,0.6791997325,3,3,3,3,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,3,2,2,2,1,1,1,2,1,2,2,3,3,2,0
120,MET20_495416,0.8781347445,1,2,1,1,2,3,2,2,2,1,1,2,3,1,2,2,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,3
121,MET20_80005884,0.9463951981,2,4,4,4,3,3,2,2,2,3,1,4,3,2,2,1,2,2,2,2,2,4,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,0
122,MET20_1701469,0.464506602,2,2,2,3,2,2,1,3,1,1,1,3,1,1,1,1,1,1,2,1,1,4,1,1,1,2,1,2,1,2,2,2,2,1,1,2,2,3
123,MET20_1900707,0.930184251,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,1,2,1,2,1,3,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,3
124,MET20_456303,0.8967423191,2,2,1,1,3,2,1,2,1,1,1,2,1,1,2,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3
125,MET20_80004353,0.5022567684,2,3,3,3,2,3,2,2,2,3,2,3,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
126,MET20_1968787,0.7397234366,1,2,2,3,4,2,1,1,4,2,1,3,2,1,2,2,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3
127,MET20_1187827,1.0076397374,2,3,2,2,3,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
128,MET20_320897,0.961473076,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,3,3,3,3,3,0
129,MET20_1247548,1.3309635272,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1
130,MET20_1458615,1.0396114026,3,3,3,3,3,1,2,3,1,1,2,3,1,2,3,3,2,1,3,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,3
131,MET20_349308,0.62815034,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,2,2,3,2,2,2,3,3,2,3,3,3,2,2,3,3,3,3,3,3,1
132,MET20_80001466,1.3840511984,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,2,1,3
133,MET20_820383,0.9612750925,2,4,3,2,1,1,1,2,2,2,2,3,2,2,2,2,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3
134,MET20_470205,0.8247615439,2,2,3,3,3,3,4,2,2,2,2,3,3,2,2,3,3,2,3,2,3,3,3,4,2,2,2,2,3,2,3,2,3,2,3,3,3,1
135,MET20_1259790,0.9306511977,1,3,2,2,2,3,3,3,1,3,2,4,2,1,2,2,2,2,3,1,2,2,3,4,2,2,2,2,2,2,3,3,3,3,3,2,2,0
136,MET20_765794,0.6583119793,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3
137,MET20_1060206,1.3100912782,4,4,4,3,2,3,4,4,2,2,3,3,2,3,3,2,2,2,2,3,2,2,2,4,2,3,3,4,3,2,2,3,4,2,2,1,4,1
138,MET20_1346893,0.9463951981,2,3,3,2,2,2,1,2,1,2,2,3,3,1,2,2,2,1,3,3,1,4,2,3,1,2,2,1,2,3,3,3,3,3,3,4,3,0
139,MET20_1425721,0.9765900354,2,3,3,3,2,3,4,2,2,2,1,3,4,1,2,4,1,2,3,3,1,4,2,3,2,2,1,2,1,2,1,2,2,2,2,1,3,0
140,MET20_1233059,1.0176565692,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
141,MET20_1733728,0.6841663427,2,2,3,3,3,3,3,3,3,2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0
142,MET20_7011396,0.9059973118,1,1,3,2,2,2,1,1,2,2,2,3,1,2,1,2,1,2,2,3,2,3,2,1,2,2,2,3,2,1,1,2,2,1,2,1,2,0
143,MET20_7006529,1.055956908,2,2,2,2,4,3,1,2,2,2,1,3,4,2,2,1,1,2,2,2,1,3,1,1,2,2,1,2,1,2,1,1,2,1,1,1,1,3
144,MET20_1227649,0.6583119793,2,2,3,2,3,2,2,2,2,2,1,3,3,2,2,3,1,2,2,2,2,3,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,0
